i,tc,te,capD
0,2.600000000000001,None,0
1,0.8999999999999999,None,2
2,2.700000000000001,None,0
3,2.1000000000000005,None,0
4,2.3000000000000007,None,1
5,1.3,None,1
6,0.4,None,2
7,None,4.6,-1
8,0.7,None,2
9,0.7,None,1
10,0.30000000000000004,None,2
11,2.2000000000000006,None,0
