t,D0:x,D0:y,D1:x,D1:y,D2:x,D2:y,I0:x,I0:y,I1:x,I1:y,I2:x,I2:y,I3:x,I3:y,I4:x,I4:y,I5:x,I5:y,I6:x,I6:y,I7:x,I7:y,I8:x,I8:y,I9:x,I9:y,I10:x,I10:y,I11:x,I11:y,I0:active,I1:active,I2:active,I3:active,I4:active,I5:active,I6:active,I7:active,I8:active,I9:active,I10:active,I11:active,eff
0.1,5.0,4.178492641310786,3.8131264711574238,3.6868735288425762,3.321507358689214,2.5,1.462412860248318,5.179699967871882,1.1094826709366392,4.567924544567395,2.1723156609304013,4.242456015597167,3.6922371365578166,5.650346188119526,3.3165662380644263,6.859183208562071,2.1731163347803464,5.568041457681235,4.966207514395647,5.24241069977879,0.47042975675221427,2.8368301689346285,2.203937205657166,2.7006480007426172,3.7895302029058833,4.922751162060582,1.8650935203652197,5.680516910309911,4.541466502535784,6.065872342527726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00000
0.2,5.0,4.178492641310786,3.8131264711574238,3.6868735288425762,3.321507358689214,2.5,1.5209808668452156,5.125204201033844,1.1711750704538926,4.516992748586853,2.226199152271376,4.183324219066813,3.7231036452270145,5.576540641969021,3.340670865632522,6.782901055145932,2.2293410822725614,5.511131197012032,4.965116905630992,5.162418134045952,0.550412420086753,2.835164766306481,2.2837450936554777,2.7061888502486924,3.8456972187720706,4.86578392297804,1.9215593019887665,5.623845793278023,4.540227276218989,5.985881941115208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00000
0.30000000000000004,4.99413836004289,4.278320699375707,3.8131264711574238,3.6868735288425762,3.321507358689214,2.5,1.5793875131543136,5.070535529320294,1.2326362406175602,4.465782158255236,2.2793560632074366,4.123538411221341,3.7539539701794458,5.502728329646961,3.365012937913496,6.706694339450609,2.2856380306831547,5.4542923581810445,4.963799625464151,5.08242897995015,0.630397581682137,2.833624011763961,2.363469340873159,2.7128254461814043,3.8994319648201716,4.806516924849688,1.977964278326309,5.567114156210499,4.538494480772232,5.905900709442148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62833
0.4,4.988276678836391,4.378148755018564,3.8131264711574238,3.6868735288425762,3.2279430490416905,2.5352947582536327,1.6376177089022206,5.015678949923101,1.2938499953888625,4.414276078742242,2.331718319678447,4.063055404539595,3.7791231645271064,5.426790778620544,3.3828286727671806,6.62870331694402,2.342014831787455,5.3975327220190135,4.962482571709478,5.002439822126059,0.7103852493574465,2.8322193695090596,2.4430728933305166,2.7207799691821046,3.94798683668055,4.742936861790406,2.034380290552803,5.510393493622161,4.534657517769441,5.8259927767013036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.48285
0.5,4.982414993017683,4.477976810390602,3.8131264711574238,3.6868735288425762,3.1343788157824877,2.570589719007506,1.6956541991462522,4.9606174770027875,1.3592836064612075,4.368249537029518,2.383223863033491,4.001841198641768,3.800225888949907,5.349624237801771,3.395041698616448,6.549641050346072,2.398480209305173,5.340861202348357,4.9611654683720054,4.922450665118384,0.7903583457009616,2.830144794557208,2.5226764015524994,2.7287349348484473,3.993519005495236,4.677158281667156,2.090877941653553,5.453754148462652,4.528159538155559,5.746257111776895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.14626
0.6,4.9765206418290004,4.5778029423604645,3.8131264711574238,3.6868735288425762,3.0408146374345435,2.6058848253265707,1.7534787240340086,4.905333443851205,1.4291967028549526,4.329363048982397,2.4359097832155427,3.9416399211256676,3.819136412311694,5.271891412649308,3.4026964816593748,6.470008115598157,2.455044152654514,5.284288061081741,4.959693990384076,4.8424641990598625,0.8703062356643947,2.8272577735328976,2.602279869541535,2.736690303106333,4.038615008866409,4.611079915464993,2.1473242640596624,5.397063649374837,4.5182760222000145,5.666869983649241,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.12673
0.7,4.984175944898202,4.448028537510943,3.8842069209698593,3.7572124914057374,2.947250444126566,2.641179891987897,1.8110695282520146,4.849805979749886,1.5024255754922404,4.29715230213803,2.4944251271491877,3.88708761114408,3.83792056338994,5.1941279529251565,3.4069031790195643,6.390118794050657,2.5117181369366817,5.22782515728124,4.959693990384076,4.8424641990598625,0.950211963701353,2.82337516785067,2.681883355939482,2.744645487157749,4.085834822310471,4.546502138960161,2.203793686497713,5.340396160198829,4.504079874982215,5.5881396248022845,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.49227
0.7999999999999999,4.978278870172917,4.547854509461719,3.9530633832802744,3.8297299899705277,3.068883906026771,2.5952963334274672,1.8656730407909308,4.791338412514602,1.579362581892345,4.275227497778805,2.5616108378428777,3.843658585382686,3.870420545387263,5.121026987335271,3.4248745670074205,6.3121634913843865,2.564762523441738,5.167939490713168,4.959693990384076,4.8424641990598625,1.0300481739570355,2.8182585740608093,2.681883355939482,2.744645487157749,4.140243545775049,4.487853261639661,2.257102148725089,5.280745444738304,4.491651618647795,5.509110905690268,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.83499
0.8999999999999999,4.985937117605378,4.41808027761666,4.019872713017391,3.9041377413145724,2.9753197166446514,2.6305914104959425,1.9172287685877538,4.730166466891302,1.6547021740063208,4.2483212557502394,2.6299193112252492,3.8020178305363834,3.9095353871134852,5.051241393143256,3.4434698707536513,6.234354657190669,2.613486263270985,5.104488744641496,4.959693990384076,4.8424641990598625,1.1099819259008892,2.8150035317909663,2.681883355939482,2.744645487157749,4.207000196243543,4.443767553998439,2.306810519744094,5.218063087965151,4.474089639860475,5.431062350924189,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.99426
0.9999999999999999,4.980036730470233,4.51790605495777,4.086083491025819,3.9790786038364216,3.096953174300686,2.5847078406845414,1.9715307215149716,4.671418718778798,1.7325798055694615,4.230016215402955,2.702779039633656,3.7689805791940993,3.963182517783912,4.9918950758958465,3.478149643926152,6.1622622627741706,2.6574797707151845,5.03767129704914,4.959693990384076,4.8424641990598625,1.1898560551021946,2.810517611112537,2.681883355939482,2.744645487157749,4.2773410368583065,4.405660256251046,2.3525875553761177,5.152454681424948,4.458666598755653,5.352563116513407,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.17936
