i,tc,te,capD
0,None,3.800000000000002,-1
1,0.7,None,1
2,1.6000000000000003,None,2
3,2.400000000000001,None,0
4,None,2.3000000000000007,-1
5,2.0000000000000004,None,0
6,0.6,None,1
7,2.0000000000000004,None,0
8,None,3.900000000000002,-1
9,0.1,None,1
10,None,4.300000000000001,-1
11,1.7000000000000004,None,1
