i,tc,te,capD
0,None,4.4,-1
1,2.0000000000000004,None,2
2,2.3000000000000007,None,2
3,0.7,None,2
4,None,4.899999999999999,-1
5,0.9999999999999999,None,2
6,3.2000000000000015,None,1
7,2.9000000000000012,None,1
8,1.6000000000000003,None,1
9,1.9000000000000006,None,1
10,1.2,None,2
11,1.4000000000000001,None,1
