i,tc,te,capD
0,None,3.700000000000002,-1
1,1.9000000000000006,None,1
2,3.800000000000002,None,2
3,2.3000000000000007,None,1
4,1.9000000000000006,None,1
5,4.300000000000001,None,2
6,1.0999999999999999,None,2
7,1.5000000000000002,None,2
8,1.2,None,1
9,3.1000000000000014,None,2
10,2.9000000000000012,None,1
11,2.800000000000001,None,1
