i,tc,te,capD
0,1.0999999999999999,None,1
1,2.3000000000000007,None,0
2,2.1000000000000005,None,0
3,1.5000000000000002,None,0
4,None,4.799999999999999,-1
5,1.0999999999999999,None,0
6,0.6,None,0
7,2.600000000000001,None,0
8,0.4,None,1
9,2.0000000000000004,None,0
10,1.2,None,1
11,2.600000000000001,None,1
