i,tc,te,capD
0,2.400000000000001,None,0
1,1.3,None,1
2,1.9000000000000006,None,1
3,2.600000000000001,None,0
4,1.0999999999999999,None,2
5,2.800000000000001,None,1
6,2.800000000000001,None,0
7,2.2000000000000006,None,1
8,2.500000000000001,None,1
9,1.9000000000000006,None,1
10,3.1000000000000014,None,0
11,3.700000000000002,None,2
