i,tc,te,capD
0,2.2000000000000006,None,2
1,2.1000000000000005,None,0
2,1.7000000000000004,None,2
3,1.6000000000000003,None,2
4,2.1000000000000005,None,2
5,1.5000000000000002,None,1
6,0.9999999999999999,None,1
7,1.8000000000000005,None,0
8,3.700000000000002,None,0
9,1.7000000000000004,None,0
10,1.2,None,1
11,2.700000000000001,None,0
