i,tc,te,capD
0,3.1000000000000014,None,2
1,3.1000000000000014,None,2
2,2.700000000000001,None,2
3,1.5000000000000002,None,0
4,2.600000000000001,None,1
5,3.2000000000000015,None,2
6,0.6,None,0
7,None,4.5,-1
8,0.7,None,2
9,1.0999999999999999,None,1
10,3.2000000000000015,None,2
11,1.5000000000000002,None,0
